CRUD_privileges,data_group,description,end_timestamp,location,metric,print_str,short_hand,site,start_timestamp,statistic,unit_str
,acceleration,std of accelerations measured at NRT_A01_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA01,std_NRT_A01_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,std,g
,acceleration,rms of accelerations measured at NRT_A01_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA01,rms_NRT_A01_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,rms,g
,acceleration,rms1p of accelerations measured at p_NRT_A01_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA01,rms1p_NRT_A01_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,rms1p,g
,acceleration,rms of accelerations measured at NRT_A01_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA01,rms_NRT_A01_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,rms,g
,scada,,3000-01-01T00:00:00Z,NRTA01,mean_NRT_A01_yaw,Yaw,yaw,Norther,2000-01-01T00:00:00Z,mean,°
,scada,,3000-01-01T00:00:00Z,NRTA01,max_NRT_A01_power,Power,power,Norther,2000-01-01T00:00:00Z,max,kW
,mpe,Modal parameter results for NRT_A01_FA,3000-01-01T00:00:00Z,NRTA01,mpe_NRT_A01_FA,FA,FA,Norther,2000-01-01T00:00:00Z,mpe,
,acceleration,rms1p of accelerations measured at p_NRT_A01_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA01,rms1p_NRT_A01_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,rms1p,g
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A01_OOD_ACC_SS,3000-01-01T00:00:00Z,NRTA01,mdl_NRT_A01_OOD_ACC_SS,OOD ACC SS,OOD_ACC_SS,norther,2000-01-01T00:00:00Z,mdl,
,acceleration,mean of accelerations measured at _NRT_A01_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA01,mean_NRT_A01_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,mean,g
,scada,,3000-01-01T00:00:00Z,NRTA01,min_NRT_A01_yaw,Yaw,yaw,Norther,2000-01-01T00:00:00Z,min,°
,scada,,3000-01-01T00:00:00Z,NRTA01,max_NRT_A01_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,max,°
,acceleration,min of accelerations measured at NRT_A01_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA01,min_NRT_A01_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,min,g
,scada,,3000-01-01T00:00:00Z,NRTA01,min_NRT_A01_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,min,°
,acceleration,rms1p of accelerations measured at p_NRT_A01_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA01,rms1p_NRT_A01_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,rms1p,g
,scada,,3000-01-01T00:00:00Z,NRTA01,std_NRT_A01_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,std,°
,scada,,3000-01-01T00:00:00Z,NRTA01,mean_NRT_A01_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,mean,°
,scada,,3000-01-01T00:00:00Z,NRTA01,std_NRT_A01_power,Power,power,Norther,2000-01-01T00:00:00Z,std,kW
,scada,,3000-01-01T00:00:00Z,NRTA01,mean_NRT_A01_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,mean,
,scada,,3000-01-01T00:00:00Z,NRTA01,std_NRT_A01_yaw,Yaw,yaw,Norther,2000-01-01T00:00:00Z,std,°
,acceleration,max of accelerations measured at NRT_A01_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA01,max_NRT_A01_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,max,g
,mpe,Modal parameter results for NRT_A01_SS1,3000-01-01T00:00:00Z,NRTA01,mpe_NRT_A01_SS1,SS1,SS1,Norther,2000-01-01T00:00:00Z,mpe,
